Trinity_ID	CrabA_0	CrabA_2	CrabA_17	cluster	GO_ID	GOslim	biological_process	V2	uniprot_acc_ID	V4	V5	V6	V7	V8.x	V9.x	V10.x	V11.x	V12	V13	V14	entry_name	review_status	protein_name	gene_name	organism	length	V8.y	V9.y	V10.y	V11.y	gene_ontology_IDs
TRINITY_DN1289_c0_g1_i2	4	9	0	1	GO:0045087	stress response	P	sp	P00522	ABL_DROME	55.5	884	285	15	292	2706	93	947	9.5e-250	866.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN8182_c0_g1_i1	0	3	0	2	GO:0006977	stress response	P	sp	Q9NZN8	CNOT2_HUMAN	61.6	315	96	5	489	1388	225	529	2.2e-103	378.6	CNOT2_HUMAN	reviewed	CCR4-NOT transcription complex subunit 2 (CCR4-associated factor 2)	CNOT2 CDC36 NOT2 HSPC131 MSTP046	Homo sapiens (Human)	540	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest [GO:0006977]; gene silencing by RNA [GO:0031047]; negative regulation of intracellular estrogen receptor signaling pathway [GO:0033147]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; negative regulation of translation [GO:0017148]; nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:0000288]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]; positive regulation of cytoplasmic mRNA processing body assembly [GO:0010606]; regulation of stem cell population maintenance [GO:2000036]; regulation of transcription from RNA polymerase II promoter [GO:0006357]; RNA phosphodiester bond hydrolysis, exonucleolytic [GO:0090503]; transcription, DNA-templated [GO:0006351]; trophectodermal cell differentiation [GO:0001829]	CCR4-NOT complex [GO:0030014]; CCR4-NOT core complex [GO:0030015]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleus [GO:0005634]; P-body [GO:0000932]; plasma membrane [GO:0005886]	RNA polymerase II transcription cofactor activity [GO:0001104]; RNA polymerase II transcription corepressor binding [GO:0001226]	CCR4-NOT complex [GO:0030014]; CCR4-NOT core complex [GO:0030015]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleus [GO:0005634]; P-body [GO:0000932]; plasma membrane [GO:0005886]; RNA polymerase II transcription cofactor activity [GO:0001104]; RNA polymerase II transcription corepressor binding [GO:0001226]; DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest [GO:0006977]; gene silencing by RNA [GO:0031047]; negative regulation of intracellular estrogen receptor signaling pathway [GO:0033147]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; negative regulation of translation [GO:0017148]; nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:0000288]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]; positive regulation of cytoplasmic mRNA processing body assembly [GO:0010606]; regulation of stem cell population maintenance [GO:2000036]; regulation of transcription from RNA polymerase II promoter [GO:0006357]; RNA phosphodiester bond hydrolysis, exonucleolytic [GO:0090503]; transcription, DNA-templated [GO:0006351]; trophectodermal cell differentiation [GO:0001829]	GO:0000122; GO:0000288; GO:0000289; GO:0000932; GO:0001104; GO:0001226; GO:0001829; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0006351; GO:0006357; GO:0006977; GO:0010606; GO:0016020; GO:0017148; GO:0030014; GO:0030015; GO:0031047; GO:0033147; GO:0090503; GO:2000036
TRINITY_DN4661_c0_g1_i1	3	6	0	1	GO:0006281	stress response	P	sp	Q8R3P9	SLF1_MOUSE	35.6	188	107	4	1649	2212	774	947	6.7e-19	97.8	SLF1_MOUSE	reviewed	SMC5-SMC6 complex localization factor protein 1 (Ankyrin repeat domain-containing protein 32) (BRCT domain-containing protein 1) (Protein BRCTx)	Slf1 Ankrd32 Brctd1 Brctx	Mus musculus (Mouse)	1054	cellular response to DNA damage stimulus [GO:0006974]; DNA repair [GO:0006281]; positive regulation of double-strand break repair [GO:2000781]; positive regulation of maintenance of mitotic sister chromatid cohesion [GO:0034184]; positive regulation of protein complex assembly [GO:0031334]; protein localization to site of double-strand break [GO:1990166]	centrosome [GO:0005813]; cytoplasm [GO:0005737]; nuclear inclusion body [GO:0042405]; nucleosome [GO:0000786]; nucleus [GO:0005634]; site of double-strand break [GO:0035861]	protein complex binding [GO:0032403]; ubiquitin protein ligase binding [GO:0031625]	centrosome [GO:0005813]; cytoplasm [GO:0005737]; nuclear inclusion body [GO:0042405]; nucleosome [GO:0000786]; nucleus [GO:0005634]; site of double-strand break [GO:0035861]; protein complex binding [GO:0032403]; ubiquitin protein ligase binding [GO:0031625]; cellular response to DNA damage stimulus [GO:0006974]; DNA repair [GO:0006281]; positive regulation of double-strand break repair [GO:2000781]; positive regulation of maintenance of mitotic sister chromatid cohesion [GO:0034184]; positive regulation of protein complex assembly [GO:0031334]; protein localization to site of double-strand break [GO:1990166]	GO:0000786; GO:0005634; GO:0005737; GO:0005813; GO:0006281; GO:0006974; GO:0031334; GO:0031625; GO:0032403; GO:0034184; GO:0035861; GO:0042405; GO:1990166; GO:2000781
TRINITY_DN4661_c0_g1_i1	3	6	0	1	GO:0006974	stress response	P	sp	Q8R3P9	SLF1_MOUSE	35.6	188	107	4	1649	2212	774	947	6.7e-19	97.8	SLF1_MOUSE	reviewed	SMC5-SMC6 complex localization factor protein 1 (Ankyrin repeat domain-containing protein 32) (BRCT domain-containing protein 1) (Protein BRCTx)	Slf1 Ankrd32 Brctd1 Brctx	Mus musculus (Mouse)	1054	cellular response to DNA damage stimulus [GO:0006974]; DNA repair [GO:0006281]; positive regulation of double-strand break repair [GO:2000781]; positive regulation of maintenance of mitotic sister chromatid cohesion [GO:0034184]; positive regulation of protein complex assembly [GO:0031334]; protein localization to site of double-strand break [GO:1990166]	centrosome [GO:0005813]; cytoplasm [GO:0005737]; nuclear inclusion body [GO:0042405]; nucleosome [GO:0000786]; nucleus [GO:0005634]; site of double-strand break [GO:0035861]	protein complex binding [GO:0032403]; ubiquitin protein ligase binding [GO:0031625]	centrosome [GO:0005813]; cytoplasm [GO:0005737]; nuclear inclusion body [GO:0042405]; nucleosome [GO:0000786]; nucleus [GO:0005634]; site of double-strand break [GO:0035861]; protein complex binding [GO:0032403]; ubiquitin protein ligase binding [GO:0031625]; cellular response to DNA damage stimulus [GO:0006974]; DNA repair [GO:0006281]; positive regulation of double-strand break repair [GO:2000781]; positive regulation of maintenance of mitotic sister chromatid cohesion [GO:0034184]; positive regulation of protein complex assembly [GO:0031334]; protein localization to site of double-strand break [GO:1990166]	GO:0000786; GO:0005634; GO:0005737; GO:0005813; GO:0006281; GO:0006974; GO:0031334; GO:0031625; GO:0032403; GO:0034184; GO:0035861; GO:0042405; GO:1990166; GO:2000781
TRINITY_DN1038_c1_g1_i1	57	51	0	1	GO:0046329	stress response	P	sp	Q7KU86	URM1_DROME	66.7	96	31	1	167	451	6	101	2.1e-31	138.3	URM1_DROME	reviewed	Ubiquitin-related modifier 1 homolog	CG33276	Drosophila melanogaster (Fruit fly)	101	negative regulation of JNK cascade [GO:0046329]; tRNA thio-modification [GO:0034227]	cytoplasm [GO:0005737]		cytoplasm [GO:0005737]; negative regulation of JNK cascade [GO:0046329]; tRNA thio-modification [GO:0034227]	GO:0005737; GO:0034227; GO:0046329
TRINITY_DN191_c0_g1_i1	10	8	0	1	GO:0006281	stress response	P	sp	Q7ZUV7	EMSY_DANRE	59.4	138	56	0	296	709	1	138	3.7e-40	169.1	EMSY_DANRE	reviewed	BRCA2-interacting transcriptional repressor EMSY	emsy zgc:56039	Danio rerio (Zebrafish) (Brachydanio rerio)	1173	covalent chromatin modification [GO:0016569]; DNA repair [GO:0006281]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]	nucleus [GO:0005634]		nucleus [GO:0005634]; covalent chromatin modification [GO:0016569]; DNA repair [GO:0006281]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]	GO:0005634; GO:0006281; GO:0006351; GO:0006355; GO:0016569
TRINITY_DN8225_c0_g1_i1	0	3	0	2	GO:0006284	stress response	P	sp	P19889	RLA0_DROME	71.5	277	79	0	68	898	1	277	3.4e-112	406.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN21161_c0_g1_i1	0	1	0	2	GO:0000724	stress response	P	sp	Q91918	RA51A_XENLA	86.2	195	27	0	656	1240	142	336	3.8e-90	335.1	RA51A_XENLA	reviewed	DNA repair protein RAD51 homolog A (xRAD51.1)	rad51-a rad51-1 rad51.1	Xenopus laevis (African clawed frog)	336	cellular response to DNA damage stimulus [GO:0006974]; DNA recombinase assembly [GO:0000730]; double-strand break repair via homologous recombination [GO:0000724]; mitotic recombination-dependent replication fork processing [GO:1990426]	cytoplasm [GO:0005737]; nuclear chromosome [GO:0000228]; nucleus [GO:0005634]	ATP binding [GO:0005524]; double-stranded DNA binding [GO:0003690]; recombinase activity [GO:0000150]; single-stranded DNA binding [GO:0003697]; single-stranded DNA-dependent ATPase activity [GO:0043142]	cytoplasm [GO:0005737]; nuclear chromosome [GO:0000228]; nucleus [GO:0005634]; ATP binding [GO:0005524]; double-stranded DNA binding [GO:0003690]; recombinase activity [GO:0000150]; single-stranded DNA binding [GO:0003697]; single-stranded DNA-dependent ATPase activity [GO:0043142]; cellular response to DNA damage stimulus [GO:0006974]; DNA recombinase assembly [GO:0000730]; double-strand break repair via homologous recombination [GO:0000724]; mitotic recombination-dependent replication fork processing [GO:1990426]	GO:0000150; GO:0000228; GO:0000724; GO:0000730; GO:0003690; GO:0003697; GO:0005524; GO:0005634; GO:0005737; GO:0006974; GO:0043142; GO:1990426
TRINITY_DN21161_c0_g1_i1	0	1	0	2	GO:0000730	stress response	P	sp	Q91918	RA51A_XENLA	86.2	195	27	0	656	1240	142	336	3.8e-90	335.1	RA51A_XENLA	reviewed	DNA repair protein RAD51 homolog A (xRAD51.1)	rad51-a rad51-1 rad51.1	Xenopus laevis (African clawed frog)	336	cellular response to DNA damage stimulus [GO:0006974]; DNA recombinase assembly [GO:0000730]; double-strand break repair via homologous recombination [GO:0000724]; mitotic recombination-dependent replication fork processing [GO:1990426]	cytoplasm [GO:0005737]; nuclear chromosome [GO:0000228]; nucleus [GO:0005634]	ATP binding [GO:0005524]; double-stranded DNA binding [GO:0003690]; recombinase activity [GO:0000150]; single-stranded DNA binding [GO:0003697]; single-stranded DNA-dependent ATPase activity [GO:0043142]	cytoplasm [GO:0005737]; nuclear chromosome [GO:0000228]; nucleus [GO:0005634]; ATP binding [GO:0005524]; double-stranded DNA binding [GO:0003690]; recombinase activity [GO:0000150]; single-stranded DNA binding [GO:0003697]; single-stranded DNA-dependent ATPase activity [GO:0043142]; cellular response to DNA damage stimulus [GO:0006974]; DNA recombinase assembly [GO:0000730]; double-strand break repair via homologous recombination [GO:0000724]; mitotic recombination-dependent replication fork processing [GO:1990426]	GO:0000150; GO:0000228; GO:0000724; GO:0000730; GO:0003690; GO:0003697; GO:0005524; GO:0005634; GO:0005737; GO:0006974; GO:0043142; GO:1990426
TRINITY_DN21161_c0_g1_i1	0	1	0	2	GO:0006974	stress response	P	sp	Q91918	RA51A_XENLA	86.2	195	27	0	656	1240	142	336	3.8e-90	335.1	RA51A_XENLA	reviewed	DNA repair protein RAD51 homolog A (xRAD51.1)	rad51-a rad51-1 rad51.1	Xenopus laevis (African clawed frog)	336	cellular response to DNA damage stimulus [GO:0006974]; DNA recombinase assembly [GO:0000730]; double-strand break repair via homologous recombination [GO:0000724]; mitotic recombination-dependent replication fork processing [GO:1990426]	cytoplasm [GO:0005737]; nuclear chromosome [GO:0000228]; nucleus [GO:0005634]	ATP binding [GO:0005524]; double-stranded DNA binding [GO:0003690]; recombinase activity [GO:0000150]; single-stranded DNA binding [GO:0003697]; single-stranded DNA-dependent ATPase activity [GO:0043142]	cytoplasm [GO:0005737]; nuclear chromosome [GO:0000228]; nucleus [GO:0005634]; ATP binding [GO:0005524]; double-stranded DNA binding [GO:0003690]; recombinase activity [GO:0000150]; single-stranded DNA binding [GO:0003697]; single-stranded DNA-dependent ATPase activity [GO:0043142]; cellular response to DNA damage stimulus [GO:0006974]; DNA recombinase assembly [GO:0000730]; double-strand break repair via homologous recombination [GO:0000724]; mitotic recombination-dependent replication fork processing [GO:1990426]	GO:0000150; GO:0000228; GO:0000724; GO:0000730; GO:0003690; GO:0003697; GO:0005524; GO:0005634; GO:0005737; GO:0006974; GO:0043142; GO:1990426
