Trinity_ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TRINITY_DN2973_c0_g1_i10	41.56193535	8.659133178	1.952968919	4.433830509	9.26E-06	0.002636459
TRINITY_DN3830_c0_g1_i1	32.78934494	-8.595489273	2.071158267	-4.150088098	3.32E-05	0.006684538
TRINITY_DN1020_c0_g1_i1	588.744287	1.434020244	0.393735596	3.642089409	0.000270434	0.033573433
TRINITY_DN2313_c0_g2_i6	613.7156767	-2.945315812	0.359645047	-8.189507508	2.62E-16	9.49E-13
TRINITY_DN155_c0_g1_i1	3782.561195	1.692277123	0.22393157	7.557117211	4.12E-14	9.94E-11
TRINITY_DN9354_c0_g1_i1	9309.502052	-1.143308082	0.272386395	-4.197375875	2.70E-05	0.005926085
TRINITY_DN2324_c0_g1_i2	29.52217569	7.909719763	2.134881934	3.704991661	0.000211398	0.02832729
TRINITY_DN155_c0_g1_i2	4560.068112	-0.903035161	0.225935636	-3.996869093	6.42E-05	0.010555642
TRINITY_DN1601_c0_g1_i9	48.46869777	-9.173000767	1.891231922	-4.850278096	1.23E-06	0.000563486
TRINITY_DN1405_c0_g2_i3	141.2125105	2.71879341	0.69869525	3.891243583	9.97E-05	0.01519282
TRINITY_DN792_c0_g1_i11	145.2019073	-3.05795947	0.666662357	-4.586968854	4.50E-06	0.001414883
TRINITY_DN3151_c0_g1_i1	41.64860494	8.600598341	1.953627128	4.402374545	1.07E-05	0.002923685
TRINITY_DN176_c0_g1_i5	502.5311424	1.705198846	0.438583749	3.887966327	0.000101088	0.015238963
TRINITY_DN6305_c0_g1_i4	7540.785413	-0.786703044	0.203254886	-3.870524638	0.000108601	0.016037543
TRINITY_DN325_c0_g1_i10	1524.396936	1.259670341	0.266193669	4.732157404	2.22E-06	0.000864114
TRINITY_DN1685_c0_g1_i2	366.687059	1.943248751	0.480420922	4.044887853	5.23E-05	0.009469785
TRINITY_DN1509_c0_g1_i2	1434.714338	2.032398805	0.452720606	4.489300415	7.15E-06	0.002200282
TRINITY_DN14186_c0_g1_i1	9161.250581	-0.813500936	0.200918795	-4.048904122	5.15E-05	0.009426588
TRINITY_DN1631_c0_g1_i2	577.2367331	1.538578277	0.363079574	4.23757872	2.26E-05	0.00536041
TRINITY_DN1249_c0_g1_i5	1351.905092	0.977335824	0.278334912	3.511366282	0.00044581	0.049628905
TRINITY_DN1672_c0_g1_i1	2061.682496	-1.316865366	0.322294613	-4.085905603	4.39E-05	0.008586439
TRINITY_DN915_c0_g1_i1	167.5771913	-4.177518091	0.654845815	-6.379391904	1.78E-10	2.57E-07
TRINITY_DN6753_c0_g1_i10	3558.023073	-1.65574073	0.222779689	-7.432188884	1.07E-13	1.93E-10
TRINITY_DN2308_c0_g1_i2	45.45436416	8.78816553	1.914749582	4.589720562	4.44E-06	0.001414883
TRINITY_DN69_c0_g2_i3	25.45707441	-8.293850097	2.217341492	-3.740447795	0.000183693	0.025079252
TRINITY_DN464_c0_g1_i2	1797.91324	1.351853565	0.250743785	5.391374159	6.99E-08	4.60E-05
TRINITY_DN671_c0_g1_i11	63.54450087	5.200091619	1.435623934	3.622182311	0.000292128	0.03582778
TRINITY_DN1105_c0_g1_i6	45.71351791	8.796567807	1.912411247	4.599726037	4.23E-06	0.00139144
TRINITY_DN1689_c0_g1_i2	877.2566563	-1.308210624	0.312740816	-4.18305049	2.88E-05	0.006121304
TRINITY_DN325_c0_g1_i2	654.6772928	1.523771631	0.362561183	4.202798597	2.64E-05	0.005926085
TRINITY_DN541_c0_g1_i1	16900.5625	-0.789266235	0.189640362	-4.161910614	3.16E-05	0.00652472
TRINITY_DN8565_c0_g1_i1	2002.264983	1.230537404	0.296519406	4.149938855	3.33E-05	0.006684538
TRINITY_DN11721_c0_g1_i1	3243.63594	-1.512472808	0.268560869	-5.631769111	1.78E-08	1.62E-05
TRINITY_DN915_c0_g1_i2	203.1947663	-3.190284485	0.648118622	-4.92237744	8.55E-07	0.000412448
TRINITY_DN211_c0_g1_i2	15305.20095	0.775825297	0.192157978	4.037434755	5.40E-05	0.009571995
TRINITY_DN4749_c0_g1_i2	124.522718	-3.589235991	0.74032571	-4.848184982	1.25E-06	0.000563486
TRINITY_DN748_c0_g1_i1	5589.474244	-1.044123676	0.290168629	-3.598334106	0.000320262	0.037990427
