Trinity_ID	uninfected_cold	infected_cold	uninfected_warm	infected_warm	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	V2	uniprot_acc_ID	V4	V5	V6	V7	V8.x	V9.x	V10.x	V11.x	V12	V13	V14	entry_name	review_status	protein_name	gene_name	organism	length	V8.y	V9.y	V10.y	V11.y	gene_ontology_IDs
TRINITY_DN83943_c0_g1_i4	0	322	18	355	173.628955	-5.412633003	1.146051159	-4.722854614	2.33e-06	0.000295974	sp	Q99L47	F10A1_MOUSE	50.2	239	115	1	36	740	1	239	1.6e-47	192.6	F10A1_MOUSE	reviewed	Hsc70-interacting protein (Hip) (Protein FAM10A1) (Protein ST13 homolog)	St13 Fam10a1 Hip	Mus musculus (Mouse)	371	chaperone cofactor-dependent protein refolding [GO:0070389]; negative regulation of protein refolding [GO:0061084]; protein homooligomerization [GO:0051260]	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; protein complex [GO:0043234]	chaperone binding [GO:0051087]; dATP binding [GO:0032564]; Hsp70 protein binding [GO:0030544]; identical protein binding [GO:0042802]; protein complex binding [GO:0032403]; protein dimerization activity [GO:0046983]; protein domain specific binding [GO:0019904]; unfolded protein binding [GO:0051082]	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; protein complex [GO:0043234]; chaperone binding [GO:0051087]; dATP binding [GO:0032564]; Hsp70 protein binding [GO:0030544]; identical protein binding [GO:0042802]; protein complex binding [GO:0032403]; protein dimerization activity [GO:0046983]; protein domain specific binding [GO:0019904]; unfolded protein binding [GO:0051082]; chaperone cofactor-dependent protein refolding [GO:0070389]; negative regulation of protein refolding [GO:0061084]; protein homooligomerization [GO:0051260]	GO:0005829; GO:0019904; GO:0030544; GO:0032403; GO:0032564; GO:0042802; GO:0043234; GO:0046983; GO:0051082; GO:0051087; GO:0051260; GO:0061084; GO:0070062; GO:0070389
TRINITY_DN7721_c0_g2_i1	0	39	0	87	30.54890757	-8.433954321	2.000607484	-4.215696677	2.49e-05	0.001684956	sp	Q5I0G4	GARS_RAT	45.2	633	326	8	106	1986	96	713	1e-155	552	GARS_RAT	reviewed	Glycine--tRNA ligase (EC 3.6.1.17) (EC 6.1.1.14) (Diadenosine tetraphosphate synthetase) (AP-4-A synthetase) (Glycyl-tRNA synthetase) (GlyRS) (Fragment)	Gars	Rattus norvegicus (Rat)	637	diadenosine tetraphosphate biosynthetic process [GO:0015966]; mitochondrial glycyl-tRNA aminoacylation [GO:0070150]	axon [GO:0030424]; extracellular exosome [GO:0070062]; mitochondrion [GO:0005739]	ATP binding [GO:0005524]; bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity [GO:0004081]; glycine-tRNA ligase activity [GO:0004820]; protein dimerization activity [GO:0046983]	axon [GO:0030424]; extracellular exosome [GO:0070062]; mitochondrion [GO:0005739]; ATP binding [GO:0005524]; bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity [GO:0004081]; glycine-tRNA ligase activity [GO:0004820]; protein dimerization activity [GO:0046983]; diadenosine tetraphosphate biosynthetic process [GO:0015966]; mitochondrial glycyl-tRNA aminoacylation [GO:0070150]	GO:0004081; GO:0004820; GO:0005524; GO:0005739; GO:0015966; GO:0030424; GO:0046983; GO:0070062; GO:0070150
TRINITY_DN4271_c0_g1_i24	0	17	0	63	19.01146491	-7.750169018	2.304113224	-3.36362334	0.000769265	0.020496363	sp	P0CB38	PAB4L_HUMAN	23.9	197	124	5	346	876	175	365	7.8e-08	60.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN941_c1_g1_i2	0	26	0	31	14.23390977	-7.331386149	2.418265757	-3.031670993	0.002432041	0.04567143	sp	Q6PCL9	PAPOG_MOUSE	59.5	523	204	5	428	1978	20	540	2.3e-176	621.7	PAPOG_MOUSE	reviewed	Poly(A) polymerase gamma (PAP-gamma) (EC 2.7.7.19) (Polynucleotide adenylyltransferase gamma) (SRP RNA 3'-adenylating enzyme) (Signal recognition particle RNA-adenylating enzyme) (SRP RNA-adenylating enzyme)	Papolg	Mus musculus (Mouse)	739	mRNA polyadenylation [GO:0006378]; RNA polyadenylation [GO:0043631]	cytosol [GO:0005829]; membrane [GO:0016020]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; polynucleotide adenylyltransferase activity [GO:0004652]; RNA binding [GO:0003723]	cytosol [GO:0005829]; membrane [GO:0016020]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; polynucleotide adenylyltransferase activity [GO:0004652]; RNA binding [GO:0003723]; mRNA polyadenylation [GO:0006378]; RNA polyadenylation [GO:0043631]	GO:0003723; GO:0004652; GO:0005524; GO:0005634; GO:0005654; GO:0005829; GO:0006378; GO:0016020; GO:0016604; GO:0043631; GO:0046872
TRINITY_DN4517_c0_g1_i3	0	89	0	71	40.74863683	-8.848323144	1.873319952	-4.723337909	2.32e-06	0.000295974	sp	Q6NRI1	ZNT7B_XENLA	53.3	394	138	2	373	1428	1	390	5.7e-97	357.5	ZNT7B_XENLA	reviewed	Zinc transporter 7-B (ZnT-7-B) (Solute carrier family 30 member 7-B)	slc30a7-b znt7-b	Xenopus laevis (African clawed frog)	390	zinc II ion transport [GO:0006829]	Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]	cation transmembrane transporter activity [GO:0008324]	Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; cation transmembrane transporter activity [GO:0008324]; zinc II ion transport [GO:0006829]	GO:0005794; GO:0006829; GO:0008324; GO:0016021
TRINITY_DN8440_c0_g1_i1	0	54	0	190	58.09151835	-9.361367953	1.842035615	-5.082077609	3.73e-07	7.84e-05	sp	Q9SHG6	STIP1_ARATH	31.2	202	122	5	365	955	192	381	1.2e-12	76.6	STIP1_ARATH	reviewed	Septin and tuftelin-interacting protein 1 homolog 1 (Nineteen complex-related protein 1 homolog) (AtNTR1) (Protein SPLICEOSOMAL TIMEKEEPER LOCUS 1)	STIPL1 NTR1 At1g17070 F20D23.23	Arabidopsis thaliana (Mouse-ear cress)	849	mRNA splicing, via spliceosome [GO:0000398]; regulation of circadian rhythm [GO:0042752]; regulation of transcription, DNA-templated [GO:0006355]; spliceosomal complex disassembly [GO:0000390]	nuclear lumen [GO:0031981]; U2-type post-mRNA release spliceosomal complex [GO:0071008]	DNA binding [GO:0003677]; U1 snRNP binding [GO:1990446]	nuclear lumen [GO:0031981]; U2-type post-mRNA release spliceosomal complex [GO:0071008]; DNA binding [GO:0003677]; U1 snRNP binding [GO:1990446]; mRNA splicing, via spliceosome [GO:0000398]; regulation of circadian rhythm [GO:0042752]; regulation of transcription, DNA-templated [GO:0006355]; spliceosomal complex disassembly [GO:0000390]	GO:0000390; GO:0000398; GO:0003677; GO:0006355; GO:0031981; GO:0042752; GO:0071008; GO:1990446
TRINITY_DN4410_c3_g1_i1	0	20	0	66	20.52281286	-7.860436316	2.244152447	-3.502630282	0.000460688	0.014526174	sp	Q1ZXF1	ECHM_DICDI	23.7	169	126	2	96	596	46	213	1.1e-06	55.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN20843_c0_g1_i1	0	27	0	37	15.87325327	-7.488844717	2.340336898	-3.19990029	0.001374751	0.03044907	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN8394_c0_g1_i23	0	27	0	40	16.55458979	-7.549583775	2.31314859	-3.263769482	0.001099406	0.026320374	sp	P10768	ESTD_HUMAN	50.7	282	132	6	59	895	3	280	2.9e-76	287.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN3606_c0_g1_i8	0	20	0	84	24.61083194	-8.122616955	2.180139415	-3.725732813	0.000194749	0.007773529	sp	Q9LRE6	DPOD1_ORYSJ	51.6	1024	454	20	95	3109	103	1103	2.3e-285	983.4	DPOD1_ORYSJ	reviewed	DNA polymerase delta catalytic subunit (EC 2.7.7.7)	POLD1 Os11g0186400 LOC_Os11g08330	Oryza sativa subsp. japonica (Rice)	1105	base-excision repair, gap-filling [GO:0006287]; DNA replication proofreading [GO:0045004]; nucleotide-excision repair, DNA gap filling [GO:0006297]	delta DNA polymerase complex [GO:0043625]	3'-5'-exodeoxyribonuclease activity [GO:0008296]; 4 iron, 4 sulfur cluster binding [GO:0051539]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	delta DNA polymerase complex [GO:0043625]; 3'-5'-exodeoxyribonuclease activity [GO:0008296]; 4 iron, 4 sulfur cluster binding [GO:0051539]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; base-excision repair, gap-filling [GO:0006287]; DNA replication proofreading [GO:0045004]; nucleotide-excision repair, DNA gap filling [GO:0006297]	GO:0000166; GO:0003677; GO:0003887; GO:0006287; GO:0006297; GO:0008296; GO:0043625; GO:0045004; GO:0046872; GO:0051539
