Trinity_ID	CrabC_2	CrabC_17	CrabE_2	CrabE_17	cluster	V2	uniprot_acc_ID	V4	V5	V6	V7	V8.x	V9.x	V10.x	V11.x	V12	V13	V14	entry_name	review_status	protein_name	gene_name	organism	length	V8.y	V9.y	V10.y	V11.y	gene_ontology_IDs
TRINITY_DN1982_c0_g1_i10	13.75	6.894	0.838	0	4	sp	Q8BH64	EHD2_MOUSE	27.9	172	100	8	618	145	61	222	4.2e-07	57	EHD2_MOUSE	reviewed	EH domain-containing protein 2	Ehd2	Mus musculus (Mouse)	543	cortical actin cytoskeleton organization [GO:0030866]; endocytic recycling [GO:0032456]; endocytosis [GO:0006897]; plasma membrane tubulation [GO:0097320]; positive regulation of endocytic recycling [GO:2001137]; positive regulation of myoblast fusion [GO:1901741]; protein localization to plasma membrane [GO:0072659]	caveola [GO:0005901]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extrinsic component of membrane [GO:0019898]; intercellular bridge [GO:0045171]; membrane [GO:0016020]; microtubule cytoskeleton [GO:0015630]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; recycling endosome membrane [GO:0055038]	ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; GTP binding [GO:0005525]; hydrolase activity [GO:0016787]; protein domain specific binding [GO:0019904]	caveola [GO:0005901]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extrinsic component of membrane [GO:0019898]; intercellular bridge [GO:0045171]; membrane [GO:0016020]; microtubule cytoskeleton [GO:0015630]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; recycling endosome membrane [GO:0055038]; ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; GTP binding [GO:0005525]; hydrolase activity [GO:0016787]; protein domain specific binding [GO:0019904]; cortical actin cytoskeleton organization [GO:0030866]; endocytic recycling [GO:0032456]; endocytosis [GO:0006897]; plasma membrane tubulation [GO:0097320]; positive regulation of endocytic recycling [GO:2001137]; positive regulation of myoblast fusion [GO:1901741]; protein localization to plasma membrane [GO:0072659]	GO:0005509; GO:0005524; GO:0005525; GO:0005829; GO:0005886; GO:0005901; GO:0006897; GO:0015630; GO:0016020; GO:0016787; GO:0019898; GO:0019904; GO:0030866; GO:0032456; GO:0045171; GO:0048471; GO:0055038; GO:0070062; GO:0072659; GO:0097320; GO:1901741; GO:2001137
TRINITY_DN3334_c0_g1_i2	6.209	1.65	0	0	4	sp	Q6NN85	SSH_DROME	48.8	576	177	12	103	1500	1	568	9.2e-124	446.8	SSH_DROME	reviewed	Protein phosphatase Slingshot (EC 3.1.3.16) (EC 3.1.3.48)	ssh CG6238	Drosophila melanogaster (Fruit fly)	1045	axonogenesis [GO:0007409]; cell morphogenesis [GO:0000902]; compound eye development [GO:0048749]; establishment of nucleus localization [GO:0040023]; mitotic cell cycle [GO:0000278]; mushroom body development [GO:0016319]; negative regulation of actin filament polymerization [GO:0030837]; protein dephosphorylation [GO:0006470]; regulation of actin filament polymerization [GO:0030833]; regulation of actin polymerization or depolymerization [GO:0008064]; regulation of axonogenesis [GO:0050770]; regulation of lamellipodium assembly [GO:0010591]	apical part of cell [GO:0045177]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]	actin binding [GO:0003779]; phosphoprotein phosphatase activity [GO:0004721]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]; protein tyrosine phosphatase activity [GO:0004725]	apical part of cell [GO:0045177]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; actin binding [GO:0003779]; phosphoprotein phosphatase activity [GO:0004721]; protein tyrosine phosphatase activity [GO:0004725]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]; axonogenesis [GO:0007409]; cell morphogenesis [GO:0000902]; compound eye development [GO:0048749]; establishment of nucleus localization [GO:0040023]; mitotic cell cycle [GO:0000278]; mushroom body development [GO:0016319]; negative regulation of actin filament polymerization [GO:0030837]; protein dephosphorylation [GO:0006470]; regulation of actin filament polymerization [GO:0030833]; regulation of actin polymerization or depolymerization [GO:0008064]; regulation of axonogenesis [GO:0050770]; regulation of lamellipodium assembly [GO:0010591]	GO:0000278; GO:0000902; GO:0003779; GO:0004721; GO:0004725; GO:0005737; GO:0005856; GO:0006470; GO:0007409; GO:0008064; GO:0008138; GO:0010591; GO:0016319; GO:0030833; GO:0030837; GO:0040023; GO:0045177; GO:0048749; GO:0050770
TRINITY_DN262_c0_g1_i1	7.246	3.662	0	0	4	sp	Q9SA73	OLA1_ARATH	58.6	145	60	0	596	162	250	394	5.2e-46	185.7	OLA1_ARATH	reviewed	Obg-like ATPase 1 (Ribosome-binding ATPase YchF) (AtYchF1)	YchF1 At1g30580 T5I8.3	Arabidopsis thaliana (Mouse-ear cress)	394	negative regulation of response to salt stress [GO:1901001]; response to cadmium ion [GO:0046686]; response to salt stress [GO:0009651]	cytosol [GO:0005829]; plasmodesma [GO:0009506]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]	cytosol [GO:0005829]; plasmodesma [GO:0009506]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]; negative regulation of response to salt stress [GO:1901001]; response to cadmium ion [GO:0046686]; response to salt stress [GO:0009651]	GO:0005524; GO:0005525; GO:0005829; GO:0009506; GO:0009651; GO:0016887; GO:0046686; GO:0046872; GO:1901001
TRINITY_DN6354_c0_g1_i1	1.633	0.826	0	0	4	sp	Q96FW1	OTUB1_HUMAN	36.9	206	116	7	40	639	14	211	2.2e-29	130.6	OTUB1_HUMAN	reviewed	Ubiquitin thioesterase OTUB1 (EC 3.4.19.12) (Deubiquitinating enzyme OTUB1) (OTU domain-containing ubiquitin aldehyde-binding protein 1) (Otubain-1) (hOTU1) (Ubiquitin-specific-processing protease OTUB1)	OTUB1 OTB1 OTU1 HSPC263	Homo sapiens (Human)	271	adaptive immune response [GO:0002250]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to interleukin-1 [GO:0071347]; DNA repair [GO:0006281]; negative regulation of double-strand break repair [GO:2000780]; negative regulation of histone H2A K63-linked ubiquitination [GO:1901315]; protein deubiquitination [GO:0016579]; protein K48-linked deubiquitination [GO:0071108]	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	NEDD8-specific protease activity [GO:0019784]; thiol-dependent ubiquitin-specific protease activity [GO:0004843]; ubiquitin binding [GO:0043130]; ubiquitin protein ligase binding [GO:0031625]	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; NEDD8-specific protease activity [GO:0019784]; thiol-dependent ubiquitin-specific protease activity [GO:0004843]; ubiquitin binding [GO:0043130]; ubiquitin protein ligase binding [GO:0031625]; adaptive immune response [GO:0002250]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to interleukin-1 [GO:0071347]; DNA repair [GO:0006281]; negative regulation of double-strand break repair [GO:2000780]; negative regulation of histone H2A K63-linked ubiquitination [GO:1901315]; protein deubiquitination [GO:0016579]; protein K48-linked deubiquitination [GO:0071108]	GO:0002250; GO:0004843; GO:0005634; GO:0005654; GO:0005829; GO:0006281; GO:0006974; GO:0016579; GO:0019784; GO:0031625; GO:0043130; GO:0070062; GO:0071108; GO:0071347; GO:1901315; GO:2000780
TRINITY_DN3196_c0_g1_i1	13.331	3.635	0	0	4	sp	Q5XJ54	GLRX3_DANRE	46.6	311	141	6	926	6	30	319	2.7e-73	276.9	GLRX3_DANRE	reviewed	Glutaredoxin 3	glrx3 txnl2	Danio rerio (Zebrafish) (Brachydanio rerio)	326	cell redox homeostasis [GO:0045454]; hemoglobin metabolic process [GO:0020027]; iron ion homeostasis [GO:0055072]	cytosol [GO:0005829]	electron carrier activity [GO:0009055]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; protein disulfide oxidoreductase activity [GO:0015035]	cytosol [GO:0005829]; electron carrier activity [GO:0009055]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; protein disulfide oxidoreductase activity [GO:0015035]; cell redox homeostasis [GO:0045454]; hemoglobin metabolic process [GO:0020027]; iron ion homeostasis [GO:0055072]	GO:0005829; GO:0009055; GO:0015035; GO:0020027; GO:0045454; GO:0046872; GO:0051536; GO:0055072
TRINITY_DN26588_c0_g1_i1	21.218	8.468	0	0	4	sp	Q9STH1	HSOP3_ARATH	41.9	93	52	1	1	279	22	112	8.4e-12	71.2	HSOP3_ARATH	reviewed	Hsp70-Hsp90 organizing protein 3 (AtHop3)	HOP3 At4g12400 T4C9.240	Arabidopsis thaliana (Mouse-ear cress)	558	chaperone-mediated protein complex assembly [GO:0051131]; heat acclimation [GO:0010286]; response to heat [GO:0009408]; response to high light intensity [GO:0009644]; response to hydrogen peroxide [GO:0042542]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	Hsp90 protein binding [GO:0051879]; preprotein binding [GO:0070678]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; Hsp90 protein binding [GO:0051879]; preprotein binding [GO:0070678]; chaperone-mediated protein complex assembly [GO:0051131]; heat acclimation [GO:0010286]; response to heat [GO:0009408]; response to high light intensity [GO:0009644]; response to hydrogen peroxide [GO:0042542]	GO:0005634; GO:0005737; GO:0009408; GO:0009644; GO:0010286; GO:0042542; GO:0051131; GO:0051879; GO:0070678
TRINITY_DN9354_c0_g1_i3	324.246	108.252	176.352	36.328	4	sp	Q9VTH4	SCLLA_DROME	33.7	104	65	2	542	234	152	252	9e-08	58.9	SCLLA_DROME	reviewed	Protein scylla (Protein regulated in development and DNA damage response 2) (REDD-2)	scyl CG7590	Drosophila melanogaster (Fruit fly)	280	apoptotic process [GO:0006915]; cell death [GO:0008219]; cellular response to DNA damage stimulus [GO:0006974]; head involution [GO:0008258]; multicellular organism reproduction [GO:0032504]; negative regulation of growth [GO:0045926]; negative regulation of signal transduction [GO:0009968]; regulation of TOR signaling [GO:0032006]; response to oxidative stress [GO:0006979]	cytoplasm [GO:0005737]		cytoplasm [GO:0005737]; apoptotic process [GO:0006915]; cell death [GO:0008219]; cellular response to DNA damage stimulus [GO:0006974]; head involution [GO:0008258]; multicellular organism reproduction [GO:0032504]; negative regulation of growth [GO:0045926]; negative regulation of signal transduction [GO:0009968]; regulation of TOR signaling [GO:0032006]; response to oxidative stress [GO:0006979]	GO:0005737; GO:0006915; GO:0006974; GO:0006979; GO:0008219; GO:0008258; GO:0009968; GO:0032006; GO:0032504; GO:0045926
TRINITY_DN4503_c0_g1_i2	23.1	0	8.396	0	4	sp	Q5BJY3	IN80C_RAT	56.9	109	43	1	426	112	82	190	1.5e-27	124.4	IN80C_RAT	reviewed	INO80 complex subunit C	Ino80c	Rattus norvegicus (Rat)	191	chromatin remodeling [GO:0006338]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]	fibrillar center [GO:0001650]; Ino80 complex [GO:0031011]; MLL1 complex [GO:0071339]		fibrillar center [GO:0001650]; Ino80 complex [GO:0031011]; MLL1 complex [GO:0071339]; chromatin remodeling [GO:0006338]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]	GO:0001650; GO:0006281; GO:0006310; GO:0006338; GO:0006351; GO:0006355; GO:0031011; GO:0071339
TRINITY_DN10667_c0_g1_i1	30.254	16.234	0	0	4	sp	Q9VD92	ARCH_DROME	50.7	140	67	2	546	133	17	156	3.2e-32	139.8	ARCH_DROME	reviewed	Protein archease-like	CG6353	Drosophila melanogaster (Fruit fly)	156	positive regulation of axon regeneration [GO:0048680]; tRNA splicing, via endonucleolytic cleavage and ligation [GO:0006388]	tRNA-splicing ligase complex [GO:0072669]	metal ion binding [GO:0046872]	tRNA-splicing ligase complex [GO:0072669]; metal ion binding [GO:0046872]; positive regulation of axon regeneration [GO:0048680]; tRNA splicing, via endonucleolytic cleavage and ligation [GO:0006388]	GO:0006388; GO:0046872; GO:0048680; GO:0072669
TRINITY_DN662_c0_g1_i11	1.608	0	0.612	0	4	sp	Q80TP3	UBR5_MOUSE	43.4	3100	1211	62	8877	277	4	2792	0	1804.6	UBR5_MOUSE	reviewed	E3 ubiquitin-protein ligase UBR5 (EC 2.3.2.26) (E3 ubiquitin-protein ligase, HECT domain-containing 1) (HECT-type E3 ubiquitin transferase UBR5) (Hyperplastic discs protein homolog)	Ubr5 Edd Edd1 Kiaa0896	Mus musculus (Mouse)	2792	cellular response to DNA damage stimulus [GO:0006974]; DNA repair [GO:0006281]; negative regulation of double-strand break repair [GO:2000780]; negative regulation of histone H2A K63-linked ubiquitination [GO:1901315]; negative regulation of interleukin-17 secretion [GO:1905077]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of catenin import into nucleus [GO:0035413]; positive regulation of gene expression [GO:0010628]; positive regulation of protein import into nucleus, translocation [GO:0033160]; progesterone receptor signaling pathway [GO:0050847]; protein polyubiquitination [GO:0000209]; regulation of protein stability [GO:0031647]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; protein complex [GO:0043234]	RNA binding [GO:0003723]; ubiquitin binding [GO:0043130]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-ubiquitin ligase activity [GO:0034450]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; protein complex [GO:0043234]; RNA binding [GO:0003723]; ubiquitin binding [GO:0043130]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-ubiquitin ligase activity [GO:0034450]; zinc ion binding [GO:0008270]; cellular response to DNA damage stimulus [GO:0006974]; DNA repair [GO:0006281]; negative regulation of double-strand break repair [GO:2000780]; negative regulation of histone H2A K63-linked ubiquitination [GO:1901315]; negative regulation of interleukin-17 secretion [GO:1905077]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of catenin import into nucleus [GO:0035413]; positive regulation of gene expression [GO:0010628]; positive regulation of protein import into nucleus, translocation [GO:0033160]; progesterone receptor signaling pathway [GO:0050847]; protein polyubiquitination [GO:0000209]; regulation of protein stability [GO:0031647]	GO:0000209; GO:0003723; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006281; GO:0006974; GO:0008270; GO:0010628; GO:0016020; GO:0031647; GO:0033160; GO:0034450; GO:0035413; GO:0043130; GO:0043234; GO:0048471; GO:0050847; GO:0061630; GO:0090263; GO:1901315; GO:1905077; GO:2000780
