Trinity_ID	CrabC_2	CrabC_17	CrabE_2	CrabE_17	cluster	V2	uniprot_acc_ID	V4	V5	V6	V7	V8.x	V9.x	V10.x	V11.x	V12	V13	V14	entry_name	review_status	protein_name	gene_name	organism	length	V8.y	V9.y	V10.y	V11.y	gene_ontology_IDs
TRINITY_DN401_c0_g1_i8	0.322	0	1.873	3.668	3	sp	Q86X10	RLGPB_HUMAN	39.8	1602	762	36	153	4706	1	1484	3e-296	1020	RLGPB_HUMAN	reviewed	Ral GTPase-activating protein subunit beta (p170)	RALGAPB KIAA1219	Homo sapiens (Human)	1494	activation of GTPase activity [GO:0090630]; regulation of small GTPase mediated signal transduction [GO:0051056]		GTPase activator activity [GO:0005096]; protein heterodimerization activity [GO:0046982]	GTPase activator activity [GO:0005096]; protein heterodimerization activity [GO:0046982]; activation of GTPase activity [GO:0090630]; regulation of small GTPase mediated signal transduction [GO:0051056]	GO:0005096; GO:0046982; GO:0051056; GO:0090630
TRINITY_DN543_c0_g1_i3	0	0	1.272	3.136	3	sp	Q75V66	ANO5_HUMAN	40.1	833	438	18	137	2584	101	889	1.1e-162	575.5	ANO5_HUMAN	reviewed	Anoctamin-5 (Gnathodiaphyseal dysplasia 1 protein) (Transmembrane protein 16E)	ANO5 GDD1 TMEM16E	Homo sapiens (Human)	913	chloride transport [GO:0006821]; ion transmembrane transport [GO:0034220]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; intracellular [GO:0005622]; plasma membrane [GO:0005886]; vesicle [GO:0031982]	intracellular calcium activated chloride channel activity [GO:0005229]; protein dimerization activity [GO:0046983]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; intracellular [GO:0005622]; plasma membrane [GO:0005886]; vesicle [GO:0031982]; intracellular calcium activated chloride channel activity [GO:0005229]; protein dimerization activity [GO:0046983]; chloride transport [GO:0006821]; ion transmembrane transport [GO:0034220]	GO:0005229; GO:0005622; GO:0005789; GO:0005886; GO:0006821; GO:0016021; GO:0031982; GO:0034220; GO:0046983
TRINITY_DN330_c1_g1_i2	0.351	1.057	0	4.704	3	sp	Q9R1R2	TRIM3_MOUSE	49.1	668	295	7	2282	291	118	744	1.1e-171	605.1	TRIM3_MOUSE	reviewed	Tripartite motif-containing protein 3 (RING finger protein 22) (RING finger protein HAC1)	Trim3 Hac1 Rnf22	Mus musculus (Mouse)	744	protein transport [GO:0015031]; protein ubiquitination [GO:0016567]	cytoplasm [GO:0005737]; dendrite [GO:0030425]; early endosome [GO:0005769]; Golgi apparatus [GO:0005794]	ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; dendrite [GO:0030425]; early endosome [GO:0005769]; Golgi apparatus [GO:0005794]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]; protein transport [GO:0015031]; protein ubiquitination [GO:0016567]	GO:0004842; GO:0005737; GO:0005769; GO:0005794; GO:0008270; GO:0015031; GO:0016567; GO:0030425; GO:0061630
TRINITY_DN1070_c0_g1_i3	0	2.095	0	2.835	3	sp	Q9EQ06	DHB11_MOUSE	36.7	259	160	2	883	107	6	260	3.8e-42	173.7	DHB11_MOUSE	reviewed	Estradiol 17-beta-dehydrogenase 11 (EC 1.1.1.62) (17-beta-hydroxysteroid dehydrogenase 11) (17-beta-HSD 11) (17bHSD11) (17betaHSD11) (17-beta-hydroxysteroid dehydrogenase XI) (17-beta-HSD XI) (17betaHSDXI) (Dehydrogenase/reductase SDR family member 8)	Hsd17b11 Dhrs8 Pan1b	Mus musculus (Mouse)	298	androgen catabolic process [GO:0006710]; steroid biosynthetic process [GO:0006694]	cytoplasm [GO:0005737]; extracellular region [GO:0005576]; lipid particle [GO:0005811]	estradiol 17-beta-dehydrogenase activity [GO:0004303]; steroid dehydrogenase activity [GO:0016229]	cytoplasm [GO:0005737]; extracellular region [GO:0005576]; lipid particle [GO:0005811]; estradiol 17-beta-dehydrogenase activity [GO:0004303]; steroid dehydrogenase activity [GO:0016229]; androgen catabolic process [GO:0006710]; steroid biosynthetic process [GO:0006694]	GO:0004303; GO:0005576; GO:0005737; GO:0005811; GO:0006694; GO:0006710; GO:0016229
TRINITY_DN3015_c0_g1_i29	0.304	0	0	0.301	3	sp	Q9NHE5	CAPS_DROME	70.4	1182	250	9	13	3327	102	1260	0	1604.3	CAPS_DROME	reviewed	Calcium-dependent secretion activator (Calcium-activated protein for secretion)	Cadps Caps CG33653	Drosophila melanogaster (Fruit fly)	1447	dense core granule exocytosis [GO:1990504]; neurotransmitter secretion [GO:0007269]; positive regulation of calcium ion-dependent exocytosis [GO:0045956]; protein transport [GO:0015031]; synaptic transmission, glutamatergic [GO:0035249]; synaptic vesicle exocytosis [GO:0016079]; vesicle-mediated transport [GO:0016192]	cell junction [GO:0030054]; cytoplasmic vesicle membrane [GO:0030659]; synapse [GO:0045202]; synaptic vesicle [GO:0008021]	calcium ion binding [GO:0005509]; lipid binding [GO:0008289]	cell junction [GO:0030054]; cytoplasmic vesicle membrane [GO:0030659]; synapse [GO:0045202]; synaptic vesicle [GO:0008021]; calcium ion binding [GO:0005509]; lipid binding [GO:0008289]; dense core granule exocytosis [GO:1990504]; neurotransmitter secretion [GO:0007269]; positive regulation of calcium ion-dependent exocytosis [GO:0045956]; protein transport [GO:0015031]; synaptic transmission, glutamatergic [GO:0035249]; synaptic vesicle exocytosis [GO:0016079]; vesicle-mediated transport [GO:0016192]	GO:0005509; GO:0007269; GO:0008021; GO:0008289; GO:0015031; GO:0016079; GO:0016192; GO:0030054; GO:0030659; GO:0035249; GO:0045202; GO:0045956; GO:1990504
TRINITY_DN3015_c0_g1_i29	0.304	0	0	0.301	3	sp	Q9NHE5	CAPS_DROME	49.1	161	80	1	3359	3835	1261	1421	9.3e-38	161	CAPS_DROME	reviewed	Calcium-dependent secretion activator (Calcium-activated protein for secretion)	Cadps Caps CG33653	Drosophila melanogaster (Fruit fly)	1447	dense core granule exocytosis [GO:1990504]; neurotransmitter secretion [GO:0007269]; positive regulation of calcium ion-dependent exocytosis [GO:0045956]; protein transport [GO:0015031]; synaptic transmission, glutamatergic [GO:0035249]; synaptic vesicle exocytosis [GO:0016079]; vesicle-mediated transport [GO:0016192]	cell junction [GO:0030054]; cytoplasmic vesicle membrane [GO:0030659]; synapse [GO:0045202]; synaptic vesicle [GO:0008021]	calcium ion binding [GO:0005509]; lipid binding [GO:0008289]	cell junction [GO:0030054]; cytoplasmic vesicle membrane [GO:0030659]; synapse [GO:0045202]; synaptic vesicle [GO:0008021]; calcium ion binding [GO:0005509]; lipid binding [GO:0008289]; dense core granule exocytosis [GO:1990504]; neurotransmitter secretion [GO:0007269]; positive regulation of calcium ion-dependent exocytosis [GO:0045956]; protein transport [GO:0015031]; synaptic transmission, glutamatergic [GO:0035249]; synaptic vesicle exocytosis [GO:0016079]; vesicle-mediated transport [GO:0016192]	GO:0005509; GO:0007269; GO:0008021; GO:0008289; GO:0015031; GO:0016079; GO:0016192; GO:0030054; GO:0030659; GO:0035249; GO:0045202; GO:0045956; GO:1990504
TRINITY_DN597_c0_g1_i14	0	0	0	12.352	3	sp	Q9VHY5	TAF7_DROME	57.5	181	69	3	140	679	52	225	5.5e-44	180.3	TAF7_DROME	reviewed	Transcription initiation factor TFIID subunit 7 (Transcription initiation factor TFIID 55 kDa subunit) (TAFII-55) (TAFII55)	Taf7 anon-84Ec TAF55 CG2670	Drosophila melanogaster (Fruit fly)	479	regulation of transcription, DNA-templated [GO:0006355]; regulation of transcription from RNA polymerase II promoter [GO:0006357]; RNA polymerase II transcriptional preinitiation complex assembly [GO:0051123]; transcription initiation from RNA polymerase II promoter [GO:0006367]	nucleus [GO:0005634]; transcription factor TFIID complex [GO:0005669]	histone acetyltransferase binding [GO:0035035]; transcription coactivator activity [GO:0003713]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; transcription factor binding [GO:0008134]; transcription regulatory region DNA binding [GO:0044212]	nucleus [GO:0005634]; transcription factor TFIID complex [GO:0005669]; histone acetyltransferase binding [GO:0035035]; transcription coactivator activity [GO:0003713]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; transcription factor binding [GO:0008134]; transcription regulatory region DNA binding [GO:0044212]; regulation of transcription from RNA polymerase II promoter [GO:0006357]; regulation of transcription, DNA-templated [GO:0006355]; RNA polymerase II transcriptional preinitiation complex assembly [GO:0051123]; transcription initiation from RNA polymerase II promoter [GO:0006367]	GO:0003700; GO:0003713; GO:0005634; GO:0005669; GO:0006355; GO:0006357; GO:0006367; GO:0008134; GO:0035035; GO:0044212; GO:0051123
TRINITY_DN1871_c0_g1_i8	0	1.666	0	2.684	3	sp	Q96PE3	INP4A_HUMAN	25.9	1256	614	26	3906	208	16	977	1.2e-81	307	INP4A_HUMAN	reviewed	Type I inositol 3,4-bisphosphate 4-phosphatase (EC 3.1.3.66) (Inositol polyphosphate 4-phosphatase type I)	INPP4A	Homo sapiens (Human)	977	inositol phosphate metabolic process [GO:0043647]; phosphatidylinositol biosynthetic process [GO:0006661]; signal transduction [GO:0007165]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	inositol-1,3,4-trisphosphate 4-phosphatase activity [GO:0017161]; inositol-3,4-bisphosphate 4-phosphatase activity [GO:0052828]; phosphatidylinositol-3,4-bisphosphate 4-phosphatase activity [GO:0016316]; phosphatidylinositol-4,5-bisphosphate 4-phosphatase activity [GO:0034597]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; inositol-1,3,4-trisphosphate 4-phosphatase activity [GO:0017161]; inositol-3,4-bisphosphate 4-phosphatase activity [GO:0052828]; phosphatidylinositol-3,4-bisphosphate 4-phosphatase activity [GO:0016316]; phosphatidylinositol-4,5-bisphosphate 4-phosphatase activity [GO:0034597]; inositol phosphate metabolic process [GO:0043647]; phosphatidylinositol biosynthetic process [GO:0006661]; signal transduction [GO:0007165]	GO:0005737; GO:0005829; GO:0006661; GO:0007165; GO:0016316; GO:0017161; GO:0034597; GO:0043647; GO:0052828
TRINITY_DN3746_c0_g1_i2	0	0	1.747	4.05	3	sp	Q9XYN0	INX1_SCHAM	51.6	250	116	2	143	892	82	326	1.7e-78	295.4	INX1_SCHAM	reviewed	Innexin inx1 (Innexin-1) (G-Inx1)	inx1	Schistocerca americana (American grasshopper)	361	ion transport [GO:0006811]	gap junction [GO:0005921]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	gap junction channel activity [GO:0005243]	gap junction [GO:0005921]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; gap junction channel activity [GO:0005243]; ion transport [GO:0006811]	GO:0005243; GO:0005886; GO:0005921; GO:0006811; GO:0016021
TRINITY_DN6272_c0_g1_i2	0	1.064	0.367	1.797	3	sp	Q9P217	ZSWM5_HUMAN	57.2	1039	367	8	2	3106	221	1185	0	1142.1	ZSWM5_HUMAN	reviewed	Zinc finger SWIM domain-containing protein 5	ZSWIM5 KIAA1511	Homo sapiens (Human)	1185		extracellular space [GO:0005615]	zinc ion binding [GO:0008270]	extracellular space [GO:0005615]; zinc ion binding [GO:0008270]	GO:0005615; GO:0008270
